part,hold_id,cx,cy
left_index,9,1,2
right_index,9,1,2
left_index,8,1,2
left_heel,11,1,2
right_heel,14,1,2
right_index,6,1,2
left_index,4,1,2
left_heel,12,1,2
right_heel,13,1,2
left_index,2,1,2
right_heel,7,1,2
left_index,1,1,2
right_index,0,1,2
left_index,0,1,2
